Year,Temp,Temp_MA,Temp_Category
188001,-0.16,NA,Low
188002,-0.18,NA,Low
188003,-0.19,NA,Low
188004,-0.19,NA,Low
188005,-0.19,-0.182,Low
188006,-0.19,-0.188,Low
188007,-0.21,-0.194,Low
188008,-0.2,-0.196,Low
188009,-0.2,-0.198,Low
188010,-0.2,-0.2,Low
188011,-0.19,-0.2,Low
188012,-0.17,-0.192,Low
188101,-0.16,-0.184,Low
188102,-0.14,-0.172,Low
188103,-0.13,-0.15799999999999997,Low
188104,-0.12,-0.14399999999999996,Low
188105,-0.1,-0.12999999999999995,Low
188106,-0.1,-0.11799999999999992,Low
188107,-0.09,-0.10799999999999992,Low
188108,-0.09,-0.09999999999999991,Low
188109,-0.09,-0.0939999999999999,Low
188110,-0.1,-0.0939999999999999,Low
188111,-0.1,-0.0939999999999999,Low
188112,-0.09,-0.0939999999999999,Low
188201,-0.08,-0.0919999999999999,Low
188202,-0.07,-0.0879999999999999,Low
188203,-0.07,-0.08199999999999989,Low
188204,-0.09,-0.07999999999999989,Low
188205,-0.11,-0.0839999999999999,Low
188206,-0.11,-0.0899999999999999,Low
188207,-0.13,-0.10199999999999991,Low
188208,-0.13,-0.11399999999999992,Low
188209,-0.13,-0.12199999999999993,Low
188210,-0.13,-0.12599999999999995,Low
188211,-0.13,-0.12999999999999995,Low
188212,-0.15,-0.13399999999999995,Low
188301,-0.18,-0.14399999999999996,Low
188302,-0.2,-0.15799999999999997,Low
188303,-0.2,-0.172,Low
188304,-0.2,-0.186,Low
188305,-0.21,-0.198,Low
188306,-0.18,-0.198,Low
188307,-0.17,-0.192,Low
188308,-0.18,-0.188,Low
188309,-0.19,-0.186,Low
188310,-0.19,-0.182,Low
188311,-0.19,-0.184,Low
188312,-0.18,-0.186,Low
188401,-0.19,-0.188,Low
188402,-0.17,-0.184,Low
188403,-0.2,-0.186,Low
188404,-0.21,-0.19,Low
188405,-0.23,-0.2,Low
188406,-0.25,-0.21200000000000002,Low
188407,-0.27,-0.23200000000000004,Low
188408,-0.28,-0.24800000000000005,Low
188409,-0.28,-0.26200000000000007,Low
188410,-0.29,-0.2740000000000001,Low
188411,-0.3,-0.2840000000000001,Low
188412,-0.29,-0.2880000000000001,Low
188501,-0.31,-0.2940000000000001,Low
188502,-0.32,-0.3020000000000001,Low
188503,-0.31,-0.3060000000000001,Low
188504,-0.31,-0.3080000000000001,Low
188505,-0.31,-0.3120000000000001,Low
188506,-0.32,-0.3140000000000001,Low
188507,-0.32,-0.3140000000000001,Low
188508,-0.31,-0.3140000000000001,Low
188509,-0.3,-0.3120000000000001,Low
188510,-0.29,-0.3080000000000001,Low
188511,-0.28,-0.3000000000000001,Low
188512,-0.28,-0.2920000000000001,Low
188601,-0.27,-0.2840000000000001,Low
188602,-0.28,-0.2800000000000001,Low
188603,-0.28,-0.2780000000000001,Low
188604,-0.27,-0.2760000000000001,Low
188605,-0.27,-0.2740000000000001,Low
188606,-0.26,-0.2720000000000001,Low
188607,-0.25,-0.26600000000000007,Low
188608,-0.26,-0.26200000000000007,Low
188609,-0.25,-0.25800000000000006,Low
188610,-0.26,-0.25600000000000006,Low
188611,-0.26,-0.25600000000000006,Low
188612,-0.27,-0.26000000000000006,Low
188701,-0.3,-0.26800000000000007,Low
188702,-0.31,-0.2800000000000001,Low
188703,-0.3,-0.2880000000000001,Low
188704,-0.31,-0.2980000000000001,Low
188705,-0.31,-0.3060000000000001,Low
188706,-0.31,-0.3080000000000001,Low
