Year,Temp
188001,-0.16
188002,-0.18
188003,-0.19
188004,-0.19
188005,-0.19
188006,-0.19
188007,-0.21
188008,-0.2
188009,-0.2
188010,-0.2
188011,-0.19
188012,-0.17
188101,-0.16
188102,-0.14
188103,-0.13
188104,-0.12
188105,-0.1
188106,-0.1
188107,-0.09
188108,-0.09
188109,-0.09
188110,-0.1
188111,-0.1
188112,-0.09
188201,-0.08
188202,-0.07
188203,-0.07
188204,-0.09
188205,-0.11
188206,-0.11
188207,-0.13
188208,-0.13
188209,-0.13
188210,-0.13
188211,-0.13
188212,-0.15
188301,-0.18
188302,-0.2
188303,-0.2
188304,-0.2
188305,-0.21
188306,-0.18
188307,-0.17
188308,-0.18
188309,-0.19
188310,-0.19
188311,-0.19
188312,-0.18
188401,-0.19
188402,-0.17
188403,-0.2
188404,-0.21
188405,-0.23
188406,-0.25
188407,-0.27
188408,-0.28
188409,-0.28
188410,-0.29
188411,-0.3
188412,-0.29
188501,-0.31
188502,-0.32
188503,-0.31
188504,-0.31
188505,-0.31
188506,-0.32
188507,-0.32
188508,-0.31
188509,-0.3
188510,-0.29
188511,-0.28
188512,-0.28
188601,-0.27
188602,-0.28
188603,-0.28
188604,-0.27
188605,-0.27
188606,-0.26
188607,-0.25
188608,-0.26
188609,-0.25
188610,-0.26
188611,-0.26
188612,-0.27
188701,-0.3
188702,-0.31
188703,-0.3
188704,-0.31
188705,-0.31
188706,-0.31
188707,-0.32
188708,-0.32
188709,-0.31
188710,-0.32
188711,-0.32
188712,-0.33
188801,-0.29
188802,-0.27
188803,-0.27
188804,-0.26
188805,-0.25
188806,-0.24
188807,-0.21
188808,-0.2
188809,-0.2
188810,-0.16
188811,-0.13
188812,-0.09
188901,-0.08
188902,-0.03
188903,0
188904,0.02
188905,0.05
188906,0.05
188907,0.04
188908,0.04
188909,0.05
188910,0.02
188911,-0.01
188912,-0.04
189001,-0.07
189002,-0.12
189003,-0.16
189004,-0.19
189005,-0.23
189006,-0.25
189007,-0.26
189008,-0.28
189009,-0.3
189010,-0.31
189011,-0.32
189012,-0.33
189101,-0.32
189102,-0.34
189103,-0.32
189104,-0.31
189105,-0.3
189106,-0.28
189107,-0.27
189108,-0.26
189109,-0.24
189110,-0.24
189111,-0.23
189112,-0.22
189201,-0.21
189202,-0.17
189203,-0.17
189204,-0.18
189205,-0.19
189206,-0.2
189207,-0.22
189208,-0.23
189209,-0.23
189210,-0.24
189211,-0.24
189212,-0.25
189301,-0.28
189302,-0.31
189303,-0.32
189304,-0.33
189305,-0.33
189306,-0.33
189307,-0.32
189308,-0.31
189309,-0.32
189310,-0.32
189311,-0.32
189312,-0.32
189401,-0.32
189402,-0.32
189403,-0.32
189404,-0.32
189405,-0.32
189406,-0.34
189407,-0.34
189408,-0.33
189409,-0.33
189410,-0.34
189411,-0.33
189412,-0.32
189501,-0.3
189502,-0.29
189503,-0.29
189504,-0.27
189505,-0.27
189506,-0.25
189507,-0.25
189508,-0.24
189509,-0.23
189510,-0.22
189511,-0.21
189512,-0.21
189601,-0.19
189602,-0.18
189603,-0.17
189604,-0.18
189605,-0.17
189606,-0.16
189607,-0.16
189608,-0.15
189609,-0.14
189610,-0.12
189611,-0.12
189612,-0.1
189701,-0.1
189702,-0.1
189703,-0.1
189704,-0.07
189705,-0.05
189706,-0.06
189707,-0.05
189708,-0.05
189709,-0.06
189710,-0.08
189711,-0.08
189712,-0.09
189801,-0.1
189802,-0.11
189803,-0.13
189804,-0.16
189805,-0.18
189806,-0.18
189807,-0.19
189808,-0.2
189809,-0.2
189810,-0.21
189811,-0.23
189812,-0.25
189901,-0.26
189902,-0.26
189903,-0.24
189904,-0.23
189905,-0.24
189906,-0.24
189907,-0.24
189908,-0.23
189909,-0.22
189910,-0.2
189911,-0.17
189912,-0.15
190001,-0.15
190002,-0.12
190003,-0.1
190004,-0.09
190005,-0.07
190006,-0.06
190007,-0.06
190008,-0.06
190009,-0.07
190010,-0.05
190011,-0.06
190012,-0.05
190101,-0.05
190102,-0.06
190103,-0.05
190104,-0.04
190105,-0.04
190106,-0.05
190107,-0.05
190108,-0.05
190109,-0.06
190110,-0.09
190111,-0.1
190112,-0.11
190201,-0.1
190202,-0.1
190203,-0.13
190204,-0.16
190205,-0.17
190206,-0.17
190207,-0.18
190208,-0.19
190209,-0.19
190210,-0.19
190211,-0.2
190212,-0.22
190301,-0.22
190302,-0.24
190303,-0.23
190304,-0.24
190305,-0.25
190306,-0.26
190307,-0.28
190308,-0.29
190309,-0.31
190310,-0.33
190311,-0.34
190312,-0.36
190401,-0.39
190402,-0.42
190403,-0.43
190404,-0.44
190405,-0.45
190406,-0.47
190407,-0.47
190408,-0.47
190409,-0.47
190410,-0.46
190411,-0.45
190412,-0.43
190501,-0.4
190502,-0.4
190503,-0.38
190504,-0.37
190505,-0.34
190506,-0.32
190507,-0.3
190508,-0.28
190509,-0.27
190510,-0.26
190511,-0.26
190512,-0.25
190601,-0.25
